PRMS_segid,comid_down,comid_seg,comid_cat
1_1,1748535,1748535,1748535
10_1,1748727,1748727,1748727
11_1,1748743,1748743,1748743
111_1,2612794,2612794,2612794
112_1,2612822,2612792;2612808;2612818;2612820;2612822;2612922;2612924;2612928,2612788;2612790;2612792;2612796;2612798;2612800;2612802;2612804;2612806;2612808;2612810;2612812;2612814;2612816;2612818;2612820;2612822;2612922;2612924;2612926;2612928;2612954;2612956;2612958
113_1,2612826,2612826,2612824;2612826;2612960
114_1,2612842,2612828;2612842;2612934;2612936,2612828;2612830;2612842;2612848;2612930;2612934;2612936;2612962
115_1,2612920,2612780;2612782;2612920;2612948;2612950;2612952,2612780;2612782;2612920;2612948;2612950;2612952
116_1,2612932,2612932,2612932
117_1,2612942,2612942,2612942
118_1,2613340,2613340,2613340
119_1,2613342,2613320;2613324;2613336;2613342;2614048;2614050,2613320;2613324;2613326;2613336;2613338;2613342;2614048;2614050
12_1,1748745,1748745,1748745
120_1,2613498,2613356;2613368;2613376;2613384;2613396;2613432;2613498;2614014,2613346;2613354;2613356;2613368;2613372;2613376;2613378;2613384;2613386;2613396;2613398;2613432;2613434;2613498;2614010;2614012;2614014
121_1,2613528,2612838;2612840;2612844;2612850;2612856;2612860;2612940;2612944;2613436;2613444;2613456;2613460;2613474;2613484;2613514;2613518;2613528;2613532;2613538;2613544;2613546;2613548;2613564;2613566;2613572;2613580;2613596;2613600;2613614;2613622;2613624,2612832;2612834;2612838;2612840;2612844;2612846;2612850;2612852;2612854;2612856;2612858;2612860;2612862;2612864;2612938;2612940;2612944;2613316;2613318;2613322;2613328;2613330;2613332;2613334;2613348;2613436;2613444;2613446;2613448;2613454;2613456;2613460;2613462;2613464;2613474;2613484;2613494;2613500;2613504;2613506;2613514;2613516;2613518;2613520;2613522;2613524;2613526;2613528;2613530;2613532;2613538;2613540;2613542;2613544;2613546;2613548;2613550;2613552;2613554;2613556;2613562;2613564;2613566;2613568;2613570;2613572;2613576;2613580;2613582;2613596;2613598;2613600;2613606;2613608;2613614;2613616;2613618;2613620;2613622;2613624;2613638;2613652;2613684;932040215;932040217
122_1,2613578,2613508;2613512;2613578,2613344;2613350;2613352;2613358;2613360;2613362;2613392;2613394;2613402;2613404;2613490;2613492;2613496;2613502;2613508;2613510;2613512;2613578;2613998;2614000;2614002;2614004;2614006;2614008
123_1,2613738,2613588;2613590;2613594;2613602;2613626;2613630;2613634;2613674;2613688;2613738;2614072;2614076,2613466;2613468;2613584;2613586;2613588;2613590;2613592;2613594;2613602;2613604;2613626;2613628;2613630;2613632;2613634;2613636;2613672;2613674;2613688;2613698;2613704;2613706;2613708;2613710;2613718;2613722;2613728;2613734;2613738;2614058;2614070;2614072;2614074;2614076
